floor: K=401 against K=801, cells agreeing of 121: {'qs': 119, 'qp': 121, 'qb': 119, 'ms': 120, 'mp': 121, 'mb': 121}

    K      h in cell q both mode both  agree with K=801 (qs qp qb | ms mp mb)    PartD /36   delta-like P(all), peak    error
  101  0.120      26     33        13   120 120 120 | 120 120 119              36      0.4351, 0.9468   +0.0194
   81  0.150      21     32        11   120 119 119 | 118 119 117              36      0.4733, 0.9453   +0.0576
   61  0.200      16     29        11   115 118 116 | 118 118 117              33      0.5391, 0.9526   +0.1234
   51  0.240      13     39        16   116 120 116 | 119 119 120              36      0.2949, 0.9468   -0.1208
   41  0.300      11     24         6    95 116 111 | 116 116 112              33      0.6751, 0.9526   +0.2594
   31  0.400       8     39        14   116 120 116 | 119 120 120              36      0.2901, 0.9427   -0.1256
   25  0.500       7      9         4    75 109  96 | 116 109 110              32      0.9137, 0.9526   +0.4980
   21  0.600       6      0         0    62 101  87 | 114 104 106              32      0.9729, 0.9526   +0.5572
   17  0.750       5      0         0    46  82  87 | 114  82 106              27      0.9975, 0.9526   +0.5818
   15  0.857       4     37        10    92 121 118 | 112 120 116              35      0.2669, 0.9290   -0.1488
   13  1.000       4      0         0    46  78  87 | 108  78 106              23      1.0000, 0.9526   +0.5843
   11  1.200       3     35         8    83 119 116 | 112 119 114              35      0.4007, 0.9168   -0.0150
    9  1.500       3      0         0    46  73  87 |  94  73 106              23      1.0000, 0.9526   +0.5843
    7  2.000       2     32         6    76 116 113 | 102 116 112              31      0.9842, 0.9820   +0.5685
    5  3.000       2      0         0    46  66  87 |  87  66 106              20      1.0000, 0.9975   +0.5843
