floor: K=401 against K=801, cells agreeing of 121: {'qs': 121, 'qp': 121, 'qb': 121, 'ms': 120, 'mp': 121, 'mb': 121}

    K      h in cell q both mode both  agree with K=801 (qs qp qb | ms mp mb)    PartD /36   delta-like P(all), peak    error
  101  0.120      26     33        13   120 120 120 | 120 120 119              36      0.4390, 0.9468   +0.0132
   81  0.150      21     32        11   120 119 119 | 118 119 117              36      0.4639, 0.9453   +0.0381
   61  0.200      16     31        11   118 118 118 | 118 118 117              34      0.5069, 0.9526   +0.0811
   51  0.240      13     37        15   117 120 118 | 119 120 121              36      0.3483, 0.9468   -0.0775
   41  0.300      11     27         8   100 116 114 | 118 116 114              33      0.6002, 0.9526   +0.1744
   31  0.400       8     37        13   118 120 118 | 118 120 119              36      0.3433, 0.9427   -0.0825
   25  0.500       7     20         8    85 113 107 | 118 113 114              33      0.8216, 0.9526   +0.3958
   21  0.600       6     18         7    80 111 105 | 118 112 113              32      0.9184, 0.9526   +0.4926
   17  0.750       5      8         2    69 102  95 | 117 105 108              32      0.9859, 0.9526   +0.5601
   15  0.857       4     36        10    93 121 119 | 112 121 116              35      0.2954, 0.9290   -0.1304
   13  1.000       4      0         0    46  83  87 | 110  83 106              27      0.9998, 0.9526   +0.5740
   11  1.200       3     35         8    83 119 116 | 112 119 114              35      0.4140, 0.9168   -0.0118
    9  1.500       3      0         0    46  76  87 |  98  76 106              23      1.0000, 0.9526   +0.5742
    7  2.000       2     32         6    76 116 113 | 102 116 112              31      0.9843, 0.9820   +0.5585
    5  3.000       2      0         0    46  67  87 |  97  67 106              20      1.0000, 0.9526   +0.5742
