adj,img_set,img_type,cls,pos,prior,posterior,n_post,tvj,n_tvj
bent,bent_bluearrow,shape,absolute_min,1,0.909990,0.028571,35,0.028571,35
bent,bent_bluearrow,shape,absolute_min,2,0.000010,0.285714,35,0.771429,35
bent,bent_bluearrow,shape,absolute_min,3,0.060000,0.314286,35,0.800000,35
bent,bent_bluearrow,shape,absolute_min,4,0.020000,0.228571,35,0.800000,35
bent,bent_bluearrow,shape,absolute_min,5,0.010000,0.142857,35,0.914286,35
bent,bent_greenarrow,shape,absolute_min,1,0.920000,0.000000,29,0.000000,24
bent,bent_greenarrow,shape,absolute_min,2,0.010000,0.137931,29,0.875000,24
bent,bent_greenarrow,shape,absolute_min,3,0.020000,0.413793,29,0.958333,24
bent,bent_greenarrow,shape,absolute_min,4,0.040000,0.241379,29,0.875000,24
bent,bent_greenarrow,shape,absolute_min,5,0.010000,0.206897,29,0.916667,24
bent,bentnail,artifact,absolute_min,1,0.840000,0.045455,22,0.000000,11
bent,bentnail,artifact,absolute_min,2,0.110000,0.045455,22,0.545455,11
bent,bentnail,artifact,absolute_min,3,0.020000,0.227273,22,0.636364,11
bent,bentnail,artifact,absolute_min,4,0.020000,0.318182,22,0.909091,11
bent,bentnail,artifact,absolute_min,5,0.010000,0.363636,22,0.818182,11
bent,straightrod,artifact,absolute_min,1,0.850000,0.000000,43,0.000000,48
bent,straightrod,artifact,absolute_min,2,0.050000,0.069767,43,0.583333,48
bent,straightrod,artifact,absolute_min,3,0.060000,0.023256,43,0.645833,48
bent,straightrod,artifact,absolute_min,4,0.030000,0.209302,43,0.791667,48
bent,straightrod,artifact,absolute_min,5,0.010000,0.697674,43,1.000000,48
big,big_redsquare,shape,relative,1,0.040000,0.000000,35,0.000000,35
big,big_redsquare,shape,relative,2,0.050000,0.000000,35,0.000000,35
big,big_redsquare,shape,relative,3,0.500000,0.000000,35,0.028571,35
big,big_redsquare,shape,relative,4,0.200000,0.142857,35,0.400000,35
big,big_redsquare,shape,relative,5,0.210000,0.857143,35,0.971429,35
big,big_yellowcircle,shape,relative,1,0.050000,0.000000,29,0.000000,24
big,big_yellowcircle,shape,relative,2,0.110000,0.034483,29,0.000000,24
big,big_yellowcircle,shape,relative,3,0.530000,0.000000,29,0.166667,24
big,big_yellowcircle,shape,relative,4,0.110000,0.103448,29,0.583333,24
big,big_yellowcircle,shape,relative,5,0.200000,0.862069,29,1.000000,24
big,boat,artifact,relative,1,0.120000,0.000000,43,0.020833,48
big,boat,artifact,relative,2,0.390000,0.069767,43,0.187500,48
big,boat,artifact,relative,3,0.250000,0.069767,43,0.583333,48
big,boat,artifact,relative,4,0.110000,0.441860,43,0.708333,48
big,boat,artifact,relative,5,0.130000,0.418605,43,0.979167,48
big,snowman,artifact,relative,1,0.060000,0.000000,22,0.000000,11
big,snowman,artifact,relative,2,0.430000,0.000000,22,0.000000,11
big,snowman,artifact,relative,3,0.340000,0.181818,22,0.272727,11
big,snowman,artifact,relative,4,0.080000,0.363636,22,0.636364,11
big,snowman,artifact,relative,5,0.090000,0.454545,22,1.000000,11
bumpy,bumpy_bluesquare,shape,absolute_min,1,0.879990,0.057143,35,0.028571,35
